,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
14,20200824,IA,56633,527465,,275.0,,86.0,,37.0,,43738.0,A+,8/24/2020 00:00,2020-08-24T00:00:00Z,08/23 20:00,1044,,2020-08-24T00:00:00Z,,,,56633.0,,,,598215.0,,,,46923.0,2986.0,43897.0,,,,,19,358,1764,584098,584098,2122,584098,8,0,6b2dd964d1ae8c9d2210c1b5527a245d2b65da21,0,0,0,0,0,
15,20200824,ID,29853,208732,,192.0,1256.0,52.0,347.0,,,12867.0,A,8/23/2020 19:00,2020-08-23T19:00:00Z,08/23 15:00,307,1256.0,2020-08-23T19:00:00Z,236547.0,,,27815.0,278.0,29.0,,,,,,,,,,,,,16,191,1114,238585,238585,1305,238585,1,10,1695e7cb0b6e733732b47abd3e0b5be9ecfb79ff,0,0,0,0,0,
16,20200824,IL,223207,3518401,,1529.0,,334.0,,141.0,,,A,8/24/2020 00:00,2020-08-24T00:00:00Z,08/23 20:00,8097,,2020-08-24T00:00:00Z,3740191.0,,,221790.0,7888.0,209.0,,,,,,,,,,,,,17,1612,34543,3741608,3741608,36155,3741608,8,0,52a00202f366dc1ed1068f27a140f3313272d3c4,0,0,0,0,0,
17,20200824,IN,87592,914446,,912.0,10343.0,248.0,2085.0,75.0,,64131.0,A+,8/23/2020 23:59,2020-08-23T23:59:00Z,08/23 19:59,3225,10343.0,2020-08-23T23:59:00Z,1310589.0,,,,3008.0,217.0,,1002038.0,,,,,,,,,,,18,1660,22576,1002038,1002038,24236,1002038,5,62,61818bfa5b364d173ed596d03b236863720fc1a5,0,0,0,0,0,
18,20200824,KS,38401,348556,,189.0,2183.0,64.0,590.0,22.0,205.0,1535.0,A+,8/24/2020 10:00,2020-08-24T10:00:00Z,08/24 06:00,426,2183.0,2020-08-24T10:00:00Z,,,,,,,,386957.0,,,,,,,,,,,20,1545,19097,386957,386957,20642,386957,7,24,683fb9c68d7599565cd2a9ef89fe2c80274cc793,0,0,0,0,0,
19,20200824,KY,43899,723565,,564.0,4399.0,149.0,1348.0,,,9544.0,B,8/24/2020 00:00,2020-08-24T00:00:00Z,08/23 20:00,885,4399.0,2020-08-24T00:00:00Z,764058.0,,,40493.0,879.0,6.0,,,46390.0,,,,,,,,12456.0,,21,370,17363,767464,767464,17733,767464,4,37,861d054089ba8b0b77feb44e3a8543eee79caa33,0,0,0,0,0,
20,20200824,LA,143566,1628915,,939.0,,,,152.0,,118120.0,A,8/24/2020 13:00,2020-08-24T13:00:00Z,08/24 09:00,4764,,2020-08-24T13:00:00Z,,,,,4623.0,141.0,,1772481.0,,,,,,,,,,,22,623,8020,1772481,1772481,8643,1772481,18,0,7d6e672c076d3894bc138920c0707722886363f6,0,0,0,0,0,
21,20200824,MA,126022,1465557,,308.0,12268.0,62.0,,26.0,,102205.0,A+,8/24/2020 08:00,2020-08-24T08:00:00Z,08/24 04:00,8948,12268.0,2020-08-24T08:00:00Z,2122991.0,,,116421.0,8717.0,231.0,,1581978.0,,,,109138.0,,,77748.0,,,,25,662,37244,1591579,1591579,37906,1591579,27,12,76b99ace5d56d495729d70ed0ae2341dcd5193fc,0,0,0,0,0,
22,20200824,MD,104669,1142924,,407.0,14007.0,103.0,,,,6047.0,A,8/24/2020 10:00,2020-08-24T10:00:00Z,08/24 06:00,3694,14007.0,2020-08-24T10:00:00Z,1794703.0,123344.0,,104669.0,3554.0,140.0,,1247593.0,,,,,,,,,,,24,567,14130,1247593,1247593,14697,1247593,3,51,3b5c1b08bb220fbd13b0c82f91ff557019edef37,0,0,0,0,0,
23,20200824,ME,4356,230500,,6.0,409.0,5.0,,1.0,,3762.0,A+,8/23/2020 23:59,2020-08-23T23:59:00Z,08/23 19:59,131,409.0,2020-08-23T23:59:00Z,234410.0,5458.0,228718.0,3910.0,130.0,1.0,,,9409.0,470.0,8926.0,,,,,,,,23,21,3134,234856,234856,3155,234856,0,1,71b8850862cbc23273f262e29755559fdc8a73b8,0,0,0,0,0,
24,20200824,MI,107686,2447208,,637.0,,186.0,,86.0,,72580.0,A+,8/24/2020 00:00,2020-08-24T00:00:00Z,08/23 20:00,6663,,2020-08-24T00:00:00Z,2585426.0,138218.0,2447208.0,97660.0,6397.0,266.0,,,248310.0,,,,,,,,,,26,878,20544,2554894,2554894,21422,2554894,4,0,f0b5b137c699f96930058024fb02dd1902d77982,0,0,0,0,0,
25,20200824,MN,70298,997512,,310.0,6195.0,135.0,1770.0,,,63059.0,A,8/23/2020 17:00,2020-08-23T17:00:00Z,08/23 13:00,1817,6195.0,2020-08-23T17:00:00Z,1386513.0,,,70298.0,1771.0,46.0,,1067810.0,,,,,,,,,,,27,714,6776,1067810,1067810,7490,1067810,4,44,8f8a511ee98cb28df960247b0b2b515104948796,0,0,0,0,0,
26,20200824,MO,75944,843768,,957.0,,,,118.0,,,A,8/24/2020 00:00,2020-08-24T00:00:00Z,08/23 20:00,1426,,2020-08-24T00:00:00Z,1214456.0,86924.0,1125404.0,75944.0,,,,919712.0,,,,66838.0,2714.0,64124.0,,,,,29,869,4010,919712,919712,4879,919712,0,0,856ecc40830e55ed0a1d3b8fef9f2ba0ee15ab7b,0,0,0,0,0,
27,20200824,MP,54,12867,,,4.0,,,,,29.0,D,8/17/2020 19:35,2020-08-17T19:35:00Z,08/17 15:35,2,4.0,2020-08-17T19:35:00Z,16453.0,,,54.0,2.0,,,12920.0,,,,,,,,,,,69,0,0,12921,12921,0,12921,0,0,60f4f69ffd2370e87ce94f6627d41cb8bc5bb849,0,0,0,0,0,
28,20200824,MS,78405,464257,,903.0,5179.0,237.0,,127.0,,56577.0,A+,8/23/2020 19:00,2020-08-23T19:00:00Z,08/23 15:00,2248,5179.0,2020-08-23T19:00:00Z,539828.0,,,75571.0,2147.0,101.0,,,23899.0,95.0,,,,,,,22904.0,,28,511,7903,542662,542662,8414,542662,8,30,4b5e2193d5a8c2f962b7852a1cfef5934f43f59b,0,0,0,0,0,
29,20200824,MT,6489,227184,,114.0,383.0,,,,,4842.0,C,8/24/2020 01:59,2020-08-24T01:59:00Z,08/23 21:59,91,383.0,2020-08-24T01:59:00Z,233673.0,,,6489.0,,,,,,,,,,,,,,,30,60,22864,233673,233673,22924,233673,1,4,6296f0c5ae80d12db9bc7a048847b401f8b336b7,0,0,0,0,0,
30,20200824,NC,156396,1931299,,948.0,,274.0,,,,136630.0,A+,8/24/2020 11:35,2020-08-24T11:35:00Z,08/24 07:35,2535,,2020-08-24T11:35:00Z,2087695.0,,,156396.0,2535.0,,,,,,,,,,,,,,37,1283,7940,2087695,2087695,9223,2087695,4,0,e285781a4559d6e48cc59998bbf4596d841c6f3f,0,0,0,0,0,
31,20200824,ND,10000,182018,,51.0,505.0,16.0,141.0,,,8206.0,B,8/24/2020 01:59,2020-08-24T01:59:00Z,08/23 21:59,112,505.0,2020-08-24T01:59:00Z,435276.0,,,10000.0,108.0,4.0,,192018.0,8218.0,308.0,7910.0,,,,,,,,38,124,1009,192018,192018,1133,192018,0,4,c71d3450696333257e402fca9aed018f9454fdf4,0,0,0,0,0,
